User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
Hi,Hey,2024-12-10 21:58:23
Hi,"I'm fine, thank you",2026-02-27 19:01:51
"Hi, I need your help",I'm here to help. What's the problem?,2026-02-27 19:02:13
"Helloo, I'm Veera Manohar",Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2026-02-28 12:30:51
Helloo,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2026-02-28 12:31:01
Hi,Hi there,2026-02-28 12:31:08
Helloo,"Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2026-02-28 12:31:14
Hello,Hi there,2026-02-28 12:47:27
"Hello, I'm Manohar","I'm fine, thank you",2026-02-28 12:47:34
What are you doing,I am a chatbot,2026-02-28 12:51:48
"Okay, Byee",Growing a vegetable garden allows you to enjoy fresh produce and connect with nature.,2026-02-28 12:56:02
"Okay, Byeee","Gardening tips include choosing the right plants for your climate, watering properly, and using organic fertilizers.",2026-02-28 12:56:18
